key|category|title|summary|input|output|dependencies|reuse
xhs-article-to-images|visual|长文转图文卡片|把 Markdown 按原文结构拆页，填入既定版式并逐张渲染。|Markdown 文章、配图、皮肤偏好|3:4 PNG 图片组、HTML/CSS 工程|Node.js、Playwright、浏览器、字体与图片素材|tools
rn-motion-director|motion|动效创作导演|从主题规划视觉隐喻、运动节奏和场景，并组织视频制作。|主题、文章、脚本或简报|动效概念、分镜、动画工程与视频|下游制作技能、HyperFrames 或 Remotion、生图及渲染能力|tools
rn-motion-replica|motion|参考动效拆解与重建|提取参考片段的布局和时序，用新文案与素材搭建动画。|获授权的参考片段、目标效果|分镜、可编辑工程、MP4、质检画面|FFmpeg、HyperFrames、参考分析脚本|tools
rn-human-motion-extractor|motion|人体与手部动作提取|逐帧提取人体和双手关键点，生成骨架预览及置信度报告。|获授权的真人参考视频|关键点数据、匿名骨架视频、质检|Python、MediaPipe、OpenCV、NumPy、FFmpeg|tools
rn-dark-saas-video|motion|暗色产品宣传动效|用预设场景蓝图组合产品界面、文字、按钮和转场。|产品卖点、界面素材、时长|暗色 SaaS 产品视频、工程|HyperFrames、字体、产品素材、渲染环境|tools
rn-bw-text-opener|motion|黑白文字开场|规划文字逐字出现、字体变化和声音节奏，生成短开场。|开场文案、时长、节奏|文字开场视频、时序方案|Python 时序脚本、动画渲染工具、可选音效|tools
editorial-collage-motion|motion|纸张拼贴动效|生成静帧与透明图层，再编排逐件进入和组装的动画。|参考图或视觉简报|拼贴静帧、图层、动态视频|生图能力、FFmpeg 或 HyperFrames|tools
ian-xiaohei-svg-motion|motion|小黑 SVG 动画|把概念和工作流表现为可控制的分层 SVG 与 HTML 动画。|文稿、分镜、概念说明|HTML、SVG、GSAP 动画工程|HTML/SVG、GSAP、配套图标与模板|tools
manim-video|motion|数学与技术动画|用程序表达公式推导、算法过程、几何关系和技术概念。|概念、公式、算法讲解要求|Manim 场景、解释视频|Python、Manim Community、FFmpeg；公式按需配置 LaTeX|tools
ra-video-production-director|ops|制作总导演|读取交接要求，选择制作路径，管理状态、质量检查与归档。|交接稿、文稿、制作需求|成片、质检资料、工程归档|个人工作台、多个下游技能与工具；部分交付脚本未入库|workspace
rn-replica-qc|ops|动效复刻质检|区分复刻精度级别，检查素材、运行时和最终视频的帧级证据。|参考视频、复刻工程、最终 MP4|比对证据、质检结论、问题清单|FFmpeg、视频分析脚本、可复现渲染环境|tools
ra-复盘|ops|内容表现复盘|结合指标和内容分析表现，并把有效表达、案例与结论回写。|作品、账号指标、历史数据|分级分析、素材库条目、选题卡回写|个人台账、指标快照、分级标准、云端监测脚本|workspace
dbs-content-system|ops|内容资产结构化|审计本地文稿，再抽取内容单元、建立主题地图与选题装配稿。|本地文稿、案例、选题、课程资料|内容单元库、主题地图、装配稿|Node.js、配套模板与工具、本地文件访问|tools
dbs-decision|ops|长期决策记录|以来源、快照和概念库组织需要长期跟踪的个人议题。|领域问题、历史材料、后续结果|本地知识工程、决策记录、状态画像|宿主 Agent、本地文件访问、领域资料|method
dbs-save|ops|诊断状态存档|将当前诊断中的关键判断与未解决事项保存到本地。|当前诊断对话|本地状态快照|宿主 Agent、本地写入权限|method
dbs-restore|ops|诊断状态续读|读取已保存的诊断记录，为后续讨论恢复上下文。|已有诊断快照|恢复后的诊断上下文|dbs-save 产物、本地读取权限|method
dbs-report|ops|诊断报告汇编|将多次保存的诊断状态合并为可分享的报告。|多个诊断快照|Markdown 报告|已有诊断快照、宿主 Agent|method
chengfeng-videocut-skills:自进化|ops|剪辑规则反馈更新|把用户反馈写入规则和方法说明，供下一次剪辑使用。|用户反馈、已有规则|更新后的规则文档|本地技能文件写入权限；属于规则维护|method
dbs|business|商业问题导航|在任务前选择合适的诊断技能，在完成后提示下一步。|商业问题、当前进度|技能路由、后续行动建议|宿主 Agent、对应 dbs 技能|method
dbs-diagnosis|business|商业模式诊断|通过问题澄清与模式拆解，帮助梳理业务逻辑。|业务描述、商业问题、已有证据|问题分析、商业模式诊断|宿主 Agent、配套知识材料、真实业务事实|method
dbs-benchmark|business|对标对象分析|按过滤框架识别可学习的案例与不适用的模仿对象。|业务目标、候选对标、案例信息|对标分析、筛选理由|宿主 Agent、对标资料、配套知识材料|method
dbs-goal|business|目标清晰化|把含混愿望转成能检查、能交付的目标描述。|模糊目标、约束条件|目标定义、可检查交付物|宿主 Agent、真实目标背景|method
dbs-deconstruct|business|商业概念拆解|澄清概念的指代、条件和关系，减少抽象词造成的歧义。|模糊商业词语或判断|概念解释、关系拆解|宿主 Agent、配套知识材料|method
dbs-action|business|行动阻力分析|按作者采用的心理学框架探讨行动迟滞的可能原因。|目标、行动过程、阻碍描述|行动阻力分析、反思问题|宿主 Agent；属于自我反思工具|method
dbs-slowisfast|business|长期积累路径分析|分析短期效率与长期资产之间的取舍。|当前做法、目标、资源约束|替代路径、积累建议|宿主 Agent、真实业务背景|method
dbs-good-question|business|问题说明书|把含混提问拆成可推理、可批评、可验证的任务。|模糊问题、已有资料|问题说明书、自动化适用性判断|宿主 Agent、任务背景与可用证据|method
dbs-learning|business|反馈式连续学习|围绕课题连续组织学习材料，按反馈调整下一次内容。|课题、当前水平、阅读反馈|连续学习文章、后续学习安排|宿主 Agent、学习反馈|method
dbs-chatroom|business|多视角模拟讨论|按主题推荐讨论角色，模拟不同视角的交流。|话题、可选讨论角色|多角色模拟对话|宿主 Agent；模拟观点需与真实言论区分|method
dbs-chatroom-austrian|business|奥派经济学讨论|以奥派经济学相关视角组织多角色模拟交流。|经济或商业议题|模拟讨论、视角比较|宿主 Agent；不代表相关人物真实发言|method
孙宇晨|business|公开决策模式分析|借公开案例中的注意力、叙事与身份运用方式进行决策推演。|选题、发布、公关或危机问题|模式分析、情境推演|宿主 Agent、公开案例；非真人扮演|method
孙割|business|决策模式分析 · 别名|转到孙宇晨技能读取同一套规则，不提供独立能力。|同主技能的决策问题|主技能分析结果|依赖同目录体系中的孙宇晨技能|method
grok-build-cli|agent|调用 Grok Build|检查登录与模型，执行单轮或 Agentic 任务并跟踪结果。|交给 Grok 的问题或任务|Grok 返回内容、任务结果|本地 Grok Build CLI、登录状态、网络|tools
dbs-agent-migration|agent|Agent 工作台整理|审计不同宿主的规则入口，整理真源与桥接文件。|已有项目、规则和技能目录|统一规则入口、桥接文件、迁移记录|本地项目读写权限、目标宿主约定|method
